,Testers,Accuracy,TP,TN,FP,FN,ERR,FRR,FAR,EER,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values,Iterations
0,1_User,0.5816666666666667,20.0,96.33333333333333,3.6666666666666665,80.0,0.41833333333333333,0.8,0.03666666666666667,0.0,0.2,0.19999999999999996,0.9633333333333333,0.3234501347708895,18.0,30.0
1,2_User,0.5,0.0,100.0,0.0,100.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,30.0
2,3_User,0.55,10.0,100.0,0.0,90.0,0.45,0.9,0.0,0.0,0.1,0.09999999999999998,1.0,0.18181818181818182,18.0,30.0
3,4_User,0.7716666666666666,60.0,94.33333333333333,5.666666666666667,40.0,0.22833333333333333,0.4,0.05666666666666667,0.0,0.6,0.6,0.9433333333333332,0.7243460764587525,18.0,30.0
4,5_User,0.5266666666666666,10.0,95.33333333333333,4.666666666666667,90.0,0.4733333333333334,0.9,0.04666666666666667,0.0,0.1,0.09999999999999998,0.9533333333333333,0.1744186046511628,18.0,30.0
5,6_User,0.635,30.0,97.0,3.0,70.0,0.365,0.7,0.03,0.0,0.3,0.30000000000000004,0.97,0.45112781954887216,18.0,30.0
6,7_User,0.54,10.0,98.0,2.0,90.0,0.46,0.9,0.02,0.0,0.1,0.09999999999999998,0.98,0.17857142857142858,18.0,30.0
7,8_User,0.8416666666666666,70.0,98.33333333333333,1.6666666666666667,30.0,0.15833333333333333,0.3,0.016666666666666666,0.0,0.7,0.7,0.9833333333333333,0.8155339805825244,18.0,30.0
8,9_User,0.55,10.0,100.0,0.0,90.0,0.45,0.9,0.0,0.0,0.1,0.09999999999999998,1.0,0.18181818181818182,18.0,30.0
9,10_User,0.5466666666666666,10.0,99.33333333333333,0.6666666666666666,90.0,0.45333333333333337,0.9,0.006666666666666666,0.0,0.1,0.09999999999999998,0.9933333333333333,0.18072289156626506,18.0,30.0
10,11_User,0.9,80.0,100.0,0.0,20.0,0.1,0.2,0.0,0.0,0.8,0.8,1.0,0.8888888888888888,18.0,30.0
11,12_User,0.9766666666666666,100.0,95.33333333333333,4.666666666666667,0.0,0.023333333333333334,0.0,0.04666666666666667,0.0,1.0,1.0,0.9533333333333333,0.9771986970684039,18.0,30.0
12,13_User,0.6366666666666666,30.0,97.33333333333333,2.6666666666666665,70.0,0.36333333333333334,0.7,0.026666666666666665,0.0,0.3,0.30000000000000004,0.9733333333333333,0.45226130653266333,18.0,30.0
13,14_User,0.495,0.0,99.0,1.0,100.0,0.505,1.0,0.01,0.0,0.0,0.0,0.99,0.0,18.0,30.0
14,15_User,0.885,80.0,97.0,3.0,20.0,0.115,0.2,0.03,0.0,0.8,0.8,0.97,0.8743169398907104,18.0,30.0
15,17_User,0.6416666666666666,30.0,98.33333333333333,1.6666666666666667,70.0,0.35833333333333334,0.7,0.016666666666666666,0.0,0.3,0.30000000000000004,0.9833333333333333,0.4556962025316456,18.0,30.0
16,18_User,0.4683333333333334,0.0,93.66666666666667,6.333333333333333,100.0,0.5316666666666666,1.0,0.06333333333333332,0.0,0.0,0.0,0.9366666666666668,0.0,18.0,30.0
17,19_User,0.585,20.0,97.0,3.0,80.0,0.415,0.8,0.03,0.0,0.2,0.19999999999999996,0.97,0.3252032520325203,18.0,30.0
18,20_User,0.6366666666666666,30.0,97.33333333333333,2.6666666666666665,70.0,0.36333333333333334,0.7,0.026666666666666665,0.0,0.3,0.30000000000000004,0.9733333333333333,0.45226130653266333,18.0,30.0
19,21_User,0.6866666666666665,40.0,97.33333333333333,2.6666666666666665,60.0,0.3133333333333333,0.6,0.026666666666666665,0.0,0.4,0.4,0.9733333333333333,0.5607476635514018,18.0,30.0
20,22_User,0.5866666666666667,20.0,97.33333333333333,2.6666666666666665,80.0,0.41333333333333333,0.8,0.026666666666666665,0.0,0.2,0.19999999999999996,0.9733333333333333,0.32608695652173914,18.0,30.0
21,23_User,0.7633333333333334,60.0,92.66666666666667,7.333333333333333,40.0,0.2366666666666667,0.4,0.07333333333333333,0.0,0.6,0.6,0.9266666666666667,0.7171314741035857,18.0,30.0
22,24_User,0.49166666666666664,0.0,98.33333333333333,1.6666666666666667,100.0,0.5083333333333333,1.0,0.016666666666666666,0.0,0.0,0.0,0.9833333333333333,0.0,18.0,30.0
23,25_User,0.885,80.0,97.0,3.0,20.0,0.115,0.2,0.03,0.0,0.8,0.8,0.97,0.8743169398907104,18.0,30.0
24,26_User,0.9833333333333334,100.0,96.66666666666667,3.3333333333333335,0.0,0.016666666666666666,0.0,0.03333333333333333,0.0,1.0,1.0,0.9666666666666667,0.9836065573770492,18.0,30.0
25,27_User,0.5,0.0,100.0,0.0,100.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,30.0
26,28_User,0.495,0.0,99.0,1.0,100.0,0.505,1.0,0.01,0.0,0.0,0.0,0.99,0.0,18.0,30.0
27,29_User,0.49333333333333335,0.0,98.66666666666667,1.3333333333333333,100.0,0.5066666666666666,1.0,0.013333333333333332,0.0,0.0,0.0,0.9866666666666667,0.0,18.0,30.0
28,30_User,0.74,50.0,98.0,2.0,50.0,0.26,0.5,0.02,0.0,0.5,0.5,0.98,0.6578947368421053,18.0,30.0
29,31_User,0.6666666666666665,40.0,93.33333333333333,6.666666666666667,60.0,0.33333333333333337,0.6,0.06666666666666667,0.0,0.4,0.4,0.9333333333333332,0.5454545454545454,18.0,30.0
30,32_User,0.5,0.0,100.0,0.0,100.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,30.0
31,1_User,0.55,10.0,100.0,0.0,90.0,0.45,0.9,0.0,0.0,0.1,0.09999999999999998,1.0,0.18181818181818182,25.0,30.0
32,2_User,0.5,0.0,100.0,0.0,100.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,30.0
33,3_User,0.55,10.0,100.0,0.0,90.0,0.45,0.9,0.0,0.0,0.1,0.09999999999999998,1.0,0.18181818181818182,25.0,30.0
34,4_User,0.8083333333333335,70.0,91.66666666666667,8.333333333333334,30.0,0.19166666666666668,0.3,0.08333333333333334,0.0,0.7,0.7,0.9166666666666667,0.7850467289719626,25.0,30.0
35,5_User,0.55,10.0,100.0,0.0,90.0,0.45,0.9,0.0,0.0,0.1,0.09999999999999998,1.0,0.18181818181818182,25.0,30.0
36,6_User,0.5866666666666667,20.0,97.33333333333333,2.6666666666666665,80.0,0.41333333333333333,0.8,0.026666666666666665,0.0,0.2,0.19999999999999996,0.9733333333333333,0.32608695652173914,25.0,30.0
37,7_User,0.47833333333333333,0.0,95.66666666666667,4.333333333333333,100.0,0.5216666666666666,1.0,0.04333333333333333,0.0,0.0,0.0,0.9566666666666667,0.0,25.0,30.0
38,8_User,0.85,70.0,100.0,0.0,30.0,0.15,0.3,0.0,0.0,0.7,0.7,1.0,0.8235294117647058,25.0,30.0
39,9_User,0.7,40.0,100.0,0.0,60.0,0.3,0.6,0.0,0.0,0.4,0.4,1.0,0.5714285714285714,25.0,30.0
40,10_User,0.495,0.0,99.0,1.0,100.0,0.505,1.0,0.01,0.0,0.0,0.0,0.99,0.0,25.0,30.0
41,11_User,0.8483333333333334,70.0,99.66666666666667,0.3333333333333333,30.0,0.15166666666666667,0.3,0.003333333333333333,0.0,0.7,0.7,0.9966666666666667,0.821917808219178,25.0,30.0
42,12_User,0.8866666666666666,80.0,97.33333333333333,2.6666666666666665,20.0,0.11333333333333334,0.2,0.026666666666666665,0.0,0.8,0.8,0.9733333333333333,0.8759124087591241,25.0,30.0
43,13_User,0.735,50.0,97.0,3.0,50.0,0.265,0.5,0.03,0.0,0.5,0.5,0.97,0.6535947712418301,25.0,30.0
44,14_User,0.49333333333333335,0.0,98.66666666666667,1.3333333333333333,100.0,0.5066666666666666,1.0,0.013333333333333332,0.0,0.0,0.0,0.9866666666666667,0.0,25.0,30.0
45,15_User,0.9333333333333335,90.0,96.66666666666667,3.3333333333333335,10.0,0.06666666666666667,0.1,0.03333333333333333,0.0,0.9,0.9,0.9666666666666667,0.9310344827586207,25.0,30.0
46,17_User,0.49833333333333335,0.0,99.66666666666667,0.3333333333333333,100.0,0.5016666666666666,1.0,0.003333333333333333,0.0,0.0,0.0,0.9966666666666667,0.0,25.0,30.0
