,Testers,Accuracy,TP,TN,FP,FN,ERR,FRR,FAR,EER,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values,Iterations
0,1_User,0.6416666666666667,67.66666666666667,60.666666666666664,39.333333333333336,32.333333333333336,0.35833333333333334,0.32333333333333336,0.39333333333333337,0.0,0.6766666666666667,0.6766666666666666,0.6066666666666667,0.6537842190016102,18.0,30.0
1,2_User,0.6283333333333333,35.666666666666664,90.0,10.0,64.33333333333333,0.37166666666666665,0.6433333333333333,0.1,0.0,0.35666666666666663,0.3566666666666667,0.9,0.4897025171624714,18.0,30.0
2,3_User,0.6783333333333332,50.333333333333336,85.33333333333333,14.666666666666666,49.666666666666664,0.32166666666666666,0.49666666666666665,0.14666666666666667,0.0,0.5033333333333334,0.5033333333333334,0.8533333333333333,0.6101010101010101,18.0,30.0
3,4_User,0.7866666666666667,85.66666666666667,71.66666666666667,28.333333333333332,14.333333333333334,0.21333333333333332,0.14333333333333334,0.2833333333333333,0.0,0.8566666666666667,0.8566666666666667,0.7166666666666667,0.8006230529595015,18.0,30.0
4,5_User,0.6616666666666667,54.333333333333336,78.0,22.0,45.666666666666664,0.33833333333333326,0.45666666666666667,0.22,0.0,0.5433333333333333,0.5433333333333333,0.78,0.6162570888468809,18.0,30.0
5,6_User,0.9833333333333334,100.0,96.66666666666667,3.3333333333333335,0.0,0.016666666666666666,0.0,0.03333333333333333,0.0,1.0,1.0,0.9666666666666667,0.9836065573770492,18.0,30.0
6,7_User,0.67,67.66666666666667,66.33333333333333,33.666666666666664,32.333333333333336,0.33,0.32333333333333336,0.33666666666666667,0.0,0.6766666666666667,0.6766666666666666,0.6633333333333333,0.6721854304635762,18.0,30.0
7,8_User,0.9016666666666667,95.66666666666667,84.66666666666667,15.333333333333334,4.333333333333333,0.09833333333333334,0.04333333333333333,0.15333333333333335,0.0,0.9566666666666667,0.9566666666666667,0.8466666666666667,0.9067930489731437,18.0,30.0
8,9_User,0.79,71.33333333333333,86.66666666666667,13.333333333333334,28.666666666666668,0.21,0.2866666666666667,0.13333333333333333,0.0,0.7133333333333333,0.7133333333333334,0.8666666666666667,0.7725631768953068,18.0,30.0
9,10_User,0.7366666666666666,65.33333333333333,82.0,18.0,34.666666666666664,0.2633333333333333,0.3466666666666666,0.18,0.0,0.6533333333333333,0.6533333333333333,0.82,0.7127272727272728,18.0,30.0
10,11_User,0.8683333333333334,94.0,79.66666666666667,20.333333333333332,6.0,0.13166666666666665,0.06,0.2033333333333333,0.0,0.94,0.94,0.7966666666666667,0.8771384136858476,18.0,30.0
11,12_User,0.825,89.66666666666667,75.33333333333333,24.666666666666668,10.333333333333334,0.175,0.10333333333333333,0.24666666666666667,0.0,0.8966666666666667,0.8966666666666667,0.7533333333333333,0.8367029548989113,18.0,30.0
12,13_User,0.81,85.66666666666667,76.33333333333333,23.666666666666668,14.333333333333334,0.19,0.14333333333333334,0.2366666666666667,0.0,0.8566666666666667,0.8566666666666667,0.7633333333333333,0.8184713375796179,18.0,30.0
13,14_User,0.5583333333333332,44.666666666666664,67.0,33.0,55.333333333333336,0.4416666666666667,0.5533333333333333,0.33,0.0,0.44666666666666666,0.44666666666666666,0.67,0.5028142589118199,18.0,30.0
14,15_User,0.6733333333333333,64.33333333333333,70.33333333333333,29.666666666666668,35.666666666666664,0.32666666666666666,0.35666666666666663,0.2966666666666667,0.0,0.6433333333333333,0.6433333333333333,0.7033333333333333,0.6632302405498283,18.0,30.0
15,17_User,0.715,75.33333333333333,67.66666666666667,32.333333333333336,24.666666666666668,0.285,0.24666666666666667,0.32333333333333336,0.0,0.7533333333333333,0.7533333333333333,0.6766666666666667,0.725521669341894,18.0,30.0
